word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
马,B-Per,B,nr,马,mǎ
斌,E-Per,E,nr,文,bīn
:,O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,I-Bir,S,m,干,nián
num,I-Bir,B,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
月,I-Bir,S,m,月,yuè
num,I-Bir,B,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
日,E-Bir,S,m,日,rì
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
大,B-Edu,B,n,大,dà
学,E-Edu,E,n,子,xué
学,O,B,n,子,xué
历,O,E,n,厂,lì
",",O,S,x,UNK,UNK
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,S,m,UNK,UNK
月,I-Time,S,m,月,yuè
至,I-Time,S,p,至,zhì
num,I-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,S,m,UNK,UNK
月,E-Time,S,m,月,yuè
任,O,S,v,亻,rèn
庄,B-Com,B,nr,广,zhuāng
凌,I-Com,E,nr,冫,líng
控,I-Com,B,v,扌,kòng
股,I-Com,E,v,月,gǔ
有,I-Com,B,n,月,yǒu
限,I-Com,M,n,阝,xiàn
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
项,B-Job,B,n,页,xiàng
目,I-Job,M,n,目,mù
经,I-Job,M,n,纟,jīng
理,E-Job,E,n,王,lǐ
",",O,S,x,UNK,UNK
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,B,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
月,I-Time,S,m,月,yuè
至,I-Time,S,p,至,zhì
num,I-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,B,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
月,E-Time,S,m,月,yuè
任,O,S,v,亻,rèn
北,B-Com,B,ns,匕,běi
京,I-Com,E,ns,亠,jīng
心,I-Com,B,a,心,xīn
鲜,I-Com,E,a,鱼,xiān
文,I-Com,B,n,文,wén
化,I-Com,E,n,亻,huà
传,I-Com,B,vn,亻,chuán
播,I-Com,E,vn,扌,bō
有,I-Com,B,n,月,yǒu
限,I-Com,M,n,阝,xiàn
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
项,B-Job,B,n,页,xiàng
目,I-Job,M,n,目,mù
经,I-Job,M,n,纟,jīng
理,E-Job,E,n,王,lǐ
",",O,S,x,UNK,UNK
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,B,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
月,I-Time,S,m,月,yuè
至,I-Time,B,d,至,zhì
今,E-Time,E,d,人,jīn
任,O,S,r,亻,rèn
北,B-Com,B,ns,匕,běi
京,I-Com,E,ns,亠,jīng
泓,I-Com,S,q,氵,hóng
钧,I-Com,S,q,钅,jūn
资,I-Com,B,n,贝,zī
产,I-Com,E,n,亠,chǎn
管,I-Com,B,vn,竹,guǎn
理,I-Com,E,vn,王,lǐ
有,I-Com,B,n,月,yǒu
限,I-Com,M,n,阝,xiàn
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
投,B-Zhi,B,vn,扌,tóu
资,I-Zhi,E,vn,贝,zī
经,I-Zhi,B,n,纟,jīng
理,E-Zhi,E,n,王,lǐ
。,O,S,x,UNK,UNK
LB,O,S,x,UNK,UNK
