word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
于,B-Per,B,nr,二,yú
冰,E-Per,E,nr,冫,bīng
:,O,S,x,UNK,UNK
女,S-Gdr,S,b,女,nǚ
",",O,S,x,UNK,UNK
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,I-Bir,S,m,干,nián
num,I-Bir,S,m,UNK,UNK
月,E-Bir,S,m,月,yuè
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
武,B-Sch,B,nt,止,wǔ
汉,I-Sch,M,nt,氵,hàn
大,I-Sch,M,nt,大,dà
学,E-Sch,E,nt,子,xué
审,B-Maj,B,n,宀,shěn
计,I-Maj,M,n,讠,jì
学,I-Maj,E,n,子,xué
专,I-Maj,B,n,一,zhuān
业,E-Maj,E,n,一,yè
研,B-Edu,B,n,石,yán
究,I-Edu,M,n,穴,jiū
生,I-Edu,E,n,生,shēng
毕,I-Edu,B,n,比,bì
业,E-Edu,E,n,一,yè
",",O,S,x,UNK,UNK
硕,B-Edu,B,n,石,shuò
士,E-Edu,E,n,士,shì
",",O,S,x,UNK,UNK
高,B-Hon,B,b,高,gāo
级,I-Hon,E,b,纟,jí
会,I-Hon,B,n,人,huì
计,I-Hon,M,n,讠,jì
师,E-Hon,E,n,巾,shī
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,S,m,UNK,UNK
月,I-Time,S,m,月,yuè
至,I-Time,S,p,至,zhì
num,I-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
