word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
阮,B-Per,B,nr,阝,ruǎn
旭,I-Per,M,nr,日,xù
里,E-Per,E,nr,里,lǐ
先,B-Gdr,B,n,儿,xiān
生,E-Gdr,E,n,生,shēng
",",O,S,x,UNK,UNK
num,O,B,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,E,m,UNK,UNK
年,O,S,m,干,nián
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
硕,O,B,n,石,shuò
士,O,E,n,士,shì
研,O,B,n,石,yán
究,O,M,n,穴,jiū
生,O,E,n,生,shēng
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
num,O,B,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,E,m,UNK,UNK
年,O,S,m,干,nián
num,O,S,m,UNK,UNK
月,O,S,m,月,yuè
毕,O,B,n,比,bì
业,O,E,n,一,yè
于,O,S,p,二,yú
中,B-Sch,B,nt,丨,zhōng
山,I-Sch,M,nt,山,shān
大,I-Sch,M,nt,大,dà
学,E-Sch,E,nt,子,xué
国,B-Col,B,n,囗,guó
际,I-Col,E,n,阝,jì
商,I-Col,B,nt,口,shāng
学,I-Col,M,nt,子,xué
院,E-Col,E,nt,阝,yuàn
经,B-Maj,B,n,纟,jīng
济,I-Maj,M,n,氵,jì
学,E-Maj,E,n,子,xué
专,O,B,n,一,zhuān
业,O,E,n,一,yè
",",O,S,x,UNK,UNK
num,O,B,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,E,m,UNK,UNK
年,O,S,m,干,nián
num,O,S,m,UNK,UNK
月,O,S,m,月,yuè
毕,O,B,n,比,bì
业,O,E,n,一,yè
于,O,S,p,二,yú
美,B-Sch,B,ns,八,měi
