word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
李,B-Per,B,nr,木,lǐ
嘉,I-Per,M,nr,口,jiā
士,E-Per,E,nr,士,shì
先,B-Gdr,B,n,儿,xiān
生,E-Gdr,E,n,生,shēng
",",O,S,x,UNK,UNK
独,B-Zhi,B,v,犭,dú
立,I-Zhi,E,v,立,lì
董,I-Zhi,B,n,艹,dǒng
事,I-Zhi,E,n,亅,shì
候,I-Zhi,B,n,亻,hòu
选,I-Zhi,M,n,辶,xuǎn
人,E-Zhi,E,n,人,rén
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,E-Bir,S,m,干,nián
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
获,O,S,v,艹,huò
香,B-Sch,B,nt,香,xiāng
港,I-Sch,M,nt,氵,gǎng
大,I-Sch,M,nt,大,dà
学,E-Sch,E,nt,子,xué
法,B-Maj,B,n,氵,fǎ
律,E-Maj,E,n,彳,lǜ
学,B-Edu,B,n,子,xué
士,E-Edu,M,n,士,shì
学,O,M,n,子,xué
位,O,E,n,亻,wèi
及,O,S,c,又,jí
法,B-Hon,B,nt,氵,fǎ
学,I-Hon,M,nt,子,xué
专,I-Hon,M,nt,一,zhuān
业,I-Hon,E,nt,一,yè
证,I-Hon,B,n,讠,zhèng
书,E-Hon,E,n,乙,shū
",",O,S,x,UNK,UNK
为,B-Hon,S,p,丶,wéi
香,I-Hon,B,ns,香,xiāng
港,I-Hon,E,ns,氵,gǎng
、,I-Hon,S,x,UNK,UNK
英,I-Hon,B,ns,艹,yīng
格,I-Hon,M,ns,木,gé
兰,I-Hon,E,ns,丷,lán
及,I-Hon,S,c,又,jí
