word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
谢,B-Per,B,nr,讠,xiè
向,I-Per,M,nr,口,xiàng
荣,E-Per,E,nr,艹,róng
:,O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,I-Bir,S,m,干,nián
num,I-Bir,S,m,UNK,UNK
月,E-Bir,S,m,月,yuè
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
南,B-Sch,B,nt,十,nán
开,I-Sch,M,nt,廾,kāi
大,I-Sch,M,nt,大,dà
学,E-Sch,E,nt,子,xué
企,B-Maj,B,n,人,qǐ
业,I-Maj,E,n,一,yè
管,I-Maj,B,vn,竹,guǎn
理,I-Maj,E,vn,王,lǐ
专,I-Maj,B,n,一,zhuān
业,E-Maj,E,n,一,yè
本,B-Edu,B,n,木,běn
科,E-Edu,M,n,禾,kē
毕,O,M,n,比,bì
业,O,E,n,一,yè
",",O,S,x,UNK,UNK
学,B-Edu,B,n,子,xué
士,E-Edu,E,n,士,shì
",",O,S,x,UNK,UNK
经,B-Hon,B,n,纟,jīng
济,I-Hon,M,n,氵,jì
师,E-Hon,E,n,巾,shī
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
历,O,B,n,厂,lì
任,O,E,n,亻,rèn
本,O,S,r,木,běn
公,O,B,n,八,gōng
司,O,E,n,口,sī
总,B-Job,B,n,心,zǒng
经,I-Job,M,n,纟,jīng
理,I-Job,E,n,王,lǐ
秘,I-Job,B,n,禾,mì
书,E-Job,E,n,乙,shū
、,O,S,x,UNK,UNK
团,B-Job,B,n,囗,tuán
支,I-Job,M,n,支,zhī
部,I-Job,E,n,阝,bù
