word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
朱,B-Per,B,nr,木,zhū
旭,E-Per,E,nr,日,xù
女,B-Gdr,B,n,女,nǚ
士,E-Gdr,E,n,士,shì
",",O,S,x,UNK,UNK
num,O,B,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,E,m,UNK,UNK
年,O,S,m,干,nián
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
现,O,B,n,见,xiàn
任,O,E,n,亻,rèn
公,O,B,n,八,gōng
司,O,E,n,口,sī
副,O,B,n,刂,fù
总,O,M,n,心,zǒng
裁,O,E,n,衣,cái
、,O,S,x,UNK,UNK
董,O,B,n,艹,dǒng
事,O,M,n,亅,shì
会,O,E,n,人,huì
秘,O,B,n,禾,mì
书,O,E,n,乙,shū
",",O,S,x,UNK,UNK
兼,O,B,v,丷,jiān
任,O,E,v,亻,rèn
深,O,B,j,氵,shēn
交,O,M,j,亠,jiāo
所,O,E,j,户,suǒ
第,O,B,m,竹,dì
十,O,M,m,十,shí
届,O,E,m,尸,jiè
上,O,B,ns,一,shàng
市,O,E,ns,巾,shì
委,O,B,n,女,wěi
员,O,M,n,口,yuán
会,O,E,n,人,huì
委,O,B,n,女,wěi
员,O,E,n,口,yuán
",",O,S,x,UNK,UNK
中,O,B,ns,丨,zhōng
国,O,E,ns,囗,guó
上,O,B,nt,一,shàng
市,O,M,nt,巾,shì
公,O,M,nt,八,gōng
司,O,E,nt,口,sī
协,O,B,n,十,xié
会,O,E,n,人,huì
第,O,B,m,竹,dì
二,O,M,m,二,èr
届,O,E,m,尸,jiè
董,O,B,n,艹,dǒng
事,O,M,n,亅,shì
会,O,E,n,人,huì
秘,O,B,n,禾,mì
书,O,E,n,乙,shū
委,O,B,n,女,wěi
员,O,M,n,口,yuán
