word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
樊,B-Per,B,nr,木,fán
勇,E-Per,E,nr,力,yǒng
",",O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
num,O,B,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,E,m,UNK,UNK
年,O,S,m,干,nián
出,O,B,v,凵,chū
生,O,E,v,生,shēng
，,O,S,x,UNK,UNK
清,B-Sch,B,nt,氵,qīng
华,I-Sch,M,nt,十,huá
大,I-Sch,M,nt,大,dà
学,E-Sch,E,nt,子,xué
硕,O,B,n,石,shuò
士,O,E,n,士,shì
研,O,B,n,石,yán
究,O,M,n,穴,jiū
生,O,E,n,生,shēng
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
曾,O,S,d,曰,zēng
就,O,B,v,尢,jiù
职,O,E,v,耳,zhí
于,O,S,p,二,yú
青,B-Com,B,ns,青,qīng
海,I-Com,E,ns,氵,hǎi
证,I-Com,B,n,讠,zhèng
券,E-Com,E,n,刀,quàn
投,O,B,n,扌,tóu
资,O,M,n,贝,zī
银,O,M,n,钅,yín
行,O,E,n,行,háng
部,O,S,n,阝,bù
主,O,B,n,丶,zhǔ
管,O,E,n,竹,guǎn
;,O,S,x,UNK,UNK
胜,B-Com,B,nt,月,shèng
利,I-Com,M,nt,刂,lì
油,I-Com,M,nt,氵,yóu
田,I-Com,E,nt,田,tián
大,I-Com,B,nz,大,dà
明,I-Com,E,nz,日,míng
集,I-Com,B,nz,隹,jí
团,I-Com,M,nz,囗,tuán
股,I-Com,M,nz,月,gǔ
份,I-Com,E,nz,亻,fèn
有,I-Com,B,n,月,yǒu
限,I-Com,M,n,阝,xiàn
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
办,O,B,n,力,bàn
公,O,M,n,八,gōng
