word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
郭,B-Per,B,nr,阝,guō
田,I-Per,M,nr,田,tián
勇,E-Per,E,nr,力,yǒng
先,B-Gdr,B,n,儿,xiān
生,E-Gdr,E,n,生,shēng
",",O,S,x,UNK,UNK
独,B-Zhi,B,v,犭,dú
立,I-Zhi,E,v,立,lì
董,I-Zhi,B,n,艹,dǒng
事,I-Zhi,E,n,亅,shì
候,I-Zhi,B,n,亻,hòu
选,I-Zhi,M,n,辶,xuǎn
人,E-Zhi,E,n,人,rén
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,I-Bir,S,m,干,nián
num,I-Bir,S,m,UNK,UNK
月,E-Bir,S,m,月,yuè
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
经,B-Maj,B,n,纟,jīng
济,I-Maj,M,n,氵,jì
学,E-Maj,E,n,子,xué
博,B-Edu,B,n,十,bó
士,E-Edu,E,n,士,shì
",",O,S,x,UNK,UNK
现,O,B,n,见,xiàn
任,O,E,n,亻,rèn
中,B-Com,B,j,丨,zhōng
央,I-Com,M,j,大,yāng
财,I-Com,M,j,贝,cái
经,I-Com,E,j,纟,jīng
大,I-Com,B,n,大,dà
学,E-Com,E,n,子,xué
金,B-Zhi,B,n,金,jīn
融,I-Zhi,E,n,虫,róng
学,I-Zhi,B,n,子,xué
院,I-Zhi,E,n,阝,yuàn
教,I-Zhi,B,n,攵,jiào
授,I-Zhi,E,n,扌,shòu
、,I-Zhi,S,x,UNK,UNK
博,I-Zhi,B,nr,十,bó
士,I-Zhi,M,nr,士,shì
生,I-Zhi,E,nr,生,shēng
导,I-Zhi,B,n,寸,dǎo
