word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
孙,B-Per,B,nr,子,sūn
华,E-Per,E,nr,十,huá
:,O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,S,m,UNK,UNK
月,I-Time,S,m,月,yuè
num,I-Time,S,m,UNK,UNK
日,E-Time,S,m,日,rì
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
本,B-Edu,B,r,木,běn
科,E-Edu,E,r,禾,kē
",",O,S,x,UNK,UNK
会,B-Hon,B,n,人,huì
计,I-Hon,M,n,讠,jì
师,I-Hon,E,n,巾,shī
、,I-Hon,S,x,UNK,UNK
审,I-Hon,B,n,宀,shěn
计,I-Hon,M,n,讠,jì
师,I-Hon,E,n,巾,shī
、,I-Hon,S,x,UNK,UNK
经,I-Hon,B,n,纟,jīng
济,I-Hon,M,n,氵,jì
师,E-Hon,E,n,巾,shī
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
历,O,B,n,厂,lì
任,O,E,n,亻,rèn
地,B-Com,B,n,土,dì
矿,I-Com,M,n,石,kuàng
部,I-Com,E,n,阝,bù
无,I-Com,B,ns,一,wú
锡,I-Com,E,ns,钅,xī
钻,I-Com,B,v,钅,zuān
探,I-Com,E,v,扌,tàn
机,I-Com,B,n,木,jī
械,I-Com,M,n,木,xiè
厂,E-Com,E,n,厂,chǎng
成,B-Job,B,n,戈,chéng
本,I-Job,M,n,木,běn
会,I-Job,M,n,人,huì
计,I-Job,E,n,讠,jì
、,I-Job,S,x,UNK,UNK
财,I-Job,B,n,贝,cái
务,I-Job,M,n,力,wù
主,I-Job,M,n,丶,zhǔ
管,E-Job,E,n,竹,guǎn
",",O,S,x,UNK,UNK
一,B-Com,B,nt,一,yī
汽,I-Com,M,nt,氵,qì
集,I-Com,M,nt,隹,jí
团,I-Com,E,nt,囗,tuán
深,I-Com,B,ns,氵,shēn
联,I-Com,E,ns,耳,lián
公,I-Com,B,n,八,gōng
司,E-Com,E,n,口,sī
财,B-Job,B,n,贝,cái
务,I-Job,M,n,力,wù
经,I-Job,M,n,纟,jīng
理,I-Job,E,n,王,lǐ
、,I-Job,S,x,UNK,UNK
售,I-Job,B,l,口,shòu
后,I-Job,M,l,口,hòu
服,I-Job,M,l,月,fú
务,I-Job,E,l,力,wù
经,I-Job,B,n,纟,jīng
理,E-Job,E,n,王,lǐ
",",O,S,x,UNK,UNK
深,B-Com,B,ns,氵,shēn
圳,I-Com,E,ns,土,zhèn
星,I-Com,B,n,日,xīng
源,I-Com,E,n,氵,yuán
会,I-Com,B,n,人,huì
计,I-Com,M,n,讠,jì
师,I-Com,E,n,巾,shī
事,I-Com,B,n,亅,shì
务,I-Com,M,n,力,wù
所,E-Com,E,n,户,suǒ
项,B-Job,B,n,页,xiàng
目,I-Job,M,n,目,mù
经,I-Job,M,n,纟,jīng
理,E-Job,E,n,王,lǐ
",",O,S,x,UNK,UNK
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,B,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
月,I-Time,S,m,月,yuè
起,E-Time,B,v,走,qǐ
任,O,E,v,亻,rèn
深,B-Com,B,ns,氵,shēn
圳,I-Com,M,ns,土,zhèn
市,I-Com,E,ns,巾,shì
全,I-Com,B,d,入,quán
新,I-Com,E,d,斤,xīn
好,I-Com,S,a,女,hǎo
股,I-Com,B,n,月,gǔ
份,I-Com,E,n,亻,fèn
有,I-Com,B,n,月,yǒu
限,I-Com,M,n,阝,xiàn
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
审,B-Zhi,B,n,宀,shěn
计,I-Zhi,M,n,讠,jì
部,I-Zhi,E,n,阝,bù
部,I-Zhi,B,n,阝,bù
长,E-Zhi,E,n,长,cháng
。,O,S,x,UNK,UNK
LB,O,S,x,UNK,UNK
