word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
黄,B-Per,B,nr,黄,huáng
国,I-Per,M,nr,囗,guó
铭,E-Per,E,nr,钅,míng
:,O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
汉,B-Nat,B,nz,氵,hàn
族,E-Nat,E,nz,方,zú
",",O,S,x,UNK,UNK
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,I-Bir,S,m,干,nián
num,I-Bir,B,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
月,I-Bir,S,m,月,yuè
num,I-Bir,B,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
日,E-Bir,B,v,日,rì
出,O,E,v,凵,chū
生,O,B,v,生,shēng
于,O,E,v,二,yú
中,O,B,ns,丨,zhōng
国,O,M,ns,囗,guó
香,O,M,ns,香,xiāng
港,O,E,ns,氵,gǎng
",",O,S,x,UNK,UNK
大,B-Edu,B,n,大,dà
学,E-Edu,E,n,子,xué
学,O,B,n,子,xué
历,O,E,n,厂,lì
",",O,S,x,UNK,UNK
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,S,m,UNK,UNK
月,E-Time,S,m,月,yuè
毕,O,B,n,比,bì
业,O,E,n,一,yè
于,O,S,p,二,yú
澳,B-Sch,B,ns,氵,ào
洲,I-Sch,E,ns,氵,zhōu
悉,I-Sch,B,ns,心,xī
尼,I-Sch,E,ns,尸,ní
麦,I-Sch,B,nr,麦,mài
格,I-Sch,M,nr,木,gé
理,I-Sch,E,nr,王,lǐ
大,I-Sch,B,n,大,dà
学,E-Sch,E,n,子,xué
",",O,S,x,UNK,UNK
应,B-Maj,B,v,广,yīng
用,I-Maj,E,v,用,yòng
金,I-Maj,B,n,金,jīn
融,I-Maj,E,n,虫,róng
专,I-Maj,B,n,一,zhuān
业,E-Maj,E,n,一,yè
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
自,O,S,r,自,zì
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,B,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
月,E-Time,S,m,月,yuè
当,O,S,p,彐,dāng
任,O,S,r,亻,rèn
深,B-Com,B,ns,氵,shēn
圳,I-Com,M,ns,土,zhèn
市,I-Com,E,ns,巾,shì
东,I-Com,B,ns,一,dōng
城,I-Com,E,ns,土,chéng
绿,I-Com,B,n,纟,lǜ
色,I-Com,E,n,色,sè
投,I-Com,B,vn,扌,tóu
资,I-Com,E,vn,贝,zī
有,I-Com,B,n,月,yǒu
限,I-Com,M,n,阝,xiàn
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
法,B-Zhi,B,n,氵,fǎ
人,E-Zhi,E,n,人,rén
、,O,S,x,UNK,UNK
执,B-Zhi,B,v,扌,zhí
行,I-Zhi,E,v,行,háng
董,I-Zhi,B,n,艹,dǒng
事,E-Zhi,E,n,亅,shì
",",O,S,x,UNK,UNK
现,B-Zhi,B,n,见,xiàn
任,I-Zhi,E,n,亻,rèn
公,I-Zhi,B,n,八,gōng
司,I-Zhi,E,n,口,sī
董,I-Zhi,B,n,艹,dǒng
事,I-Zhi,M,n,亅,shì
长,E-Zhi,E,n,长,cháng
。,O,S,x,UNK,UNK
LB,O,S,x,UNK,UNK
