word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
翟,B-Per,S,nr,羽,dí
进,I-Per,B,d,辶,jìn
步,E-Per,E,d,止,bù
",",O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
num,O,B,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,E,m,UNK,UNK
年,O,S,m,干,nián
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
清,B-Sch,B,nt,氵,qīng
华,I-Sch,M,nt,十,huá
大,I-Sch,M,nt,大,dà
学,E-Sch,E,nt,子,xué
会,B-Maj,B,n,人,huì
计,I-Maj,M,n,讠,jì
学,E-Maj,E,n,子,xué
博,O,B,n,十,bó
士,O,E,n,士,shì
研,O,B,n,石,yán
究,O,M,n,穴,jiū
生,O,E,n,生,shēng
",",O,S,x,UNK,UNK
副,O,B,n,刂,fù
教,O,M,n,攵,jiào
授,O,E,n,扌,shòu
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
曾,O,S,d,曰,zēng
就,O,B,v,尢,jiù
职,O,E,v,耳,zhí
于,O,S,p,二,yú
中,B-Com,B,ns,丨,zhōng
国,I-Com,E,ns,囗,guó
葛,I-Com,B,ns,艹,gé
洲,I-Com,M,ns,氵,zhōu
坝,I-Com,E,ns,土,bà
集,I-Com,B,n,隹,jí
团,I-Com,M,n,囗,tuán
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
工,O,B,n,工,gōng
程,O,M,n,禾,chéng
师,O,E,n,巾,shī
;,O,S,x,UNK,UNK
三,B-Com,B,ns,一,sān
峡,I-Com,E,ns,山,xiá
大,I-Com,B,n,大,dà
学,E-Com,E,n,子,xué
副,O,B,n,刂,fù
教,O,M,n,攵,jiào
授,O,E,n,扌,shòu
;,O,S,x,UNK,UNK
