word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
姜,B-Per,B,nr,女,jiāng
兆,I-Per,M,nr,儿,zhào
南,E-Per,E,nr,十,nán
:,O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,E-Bir,S,m,干,nián
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
中,O,B,ns,丨,zhōng
国,O,E,ns,囗,guó
国,O,B,n,囗,guó
籍,O,E,n,竹,jí
",",O,S,x,UNK,UNK
本,B-Edu,B,nz,木,běn
科,E-Edu,M,nz,禾,kē
学,O,M,nz,子,xué
历,O,E,nz,厂,lì
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
曾,O,S,d,曰,zēng
任,O,S,v,亻,rèn
中,B-Com,B,ns,丨,zhōng
国,I-Com,E,ns,囗,guó
高,I-Com,B,d,高,gāo
新,I-Com,E,d,斤,xīn
投,I-Com,B,vn,扌,tóu
资,I-Com,E,vn,贝,zī
集,I-Com,B,n,隹,jí
团,I-Com,M,n,囗,tuán
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
投,B-Job,B,vn,扌,tóu
资,I-Job,E,vn,贝,zī
总,I-Job,B,n,心,zǒng
监,E-Job,E,n,皿,jiān
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
现,O,B,n,见,xiàn
任,O,E,n,亻,rèn
中,B-Com,B,ns,丨,zhōng
国,I-Com,E,ns,囗,guó
国,I-Com,B,j,囗,guó
投,I-Com,E,j,扌,tóu
高,I-Com,B,n,高,gāo
新,I-Com,M,n,斤,xīn
产,I-Com,M,n,亠,chǎn
业,I-Com,E,n,一,yè
投,I-Com,B,vn,扌,tóu
资,I-Com,E,vn,贝,zī
有,I-Com,B,n,月,yǒu
限,I-Com,M,n,阝,xiàn
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
总,B-Zhi,B,n,心,zǒng
经,I-Zhi,M,n,纟,jīng
理,I-Zhi,E,n,王,lǐ
助,I-Zhi,B,vn,力,zhù
理,E-Zhi,E,vn,王,lǐ
、,O,S,x,UNK,UNK
健,B-Zhi,B,a,亻,jiàn
康,I-Zhi,E,a,广,kāng
团,I-Zhi,B,n,囗,tuán
队,I-Zhi,E,n,阝,duì
总,I-Zhi,B,n,心,zǒng
监,E-Zhi,E,n,皿,jiān
、,O,S,x,UNK,UNK
内,B-Com,B,ns,冂,nèi
蒙,I-Com,M,ns,艹,mēng
古,I-Com,E,ns,口,gǔ
福,I-Com,B,nr,礻,fú
瑞,I-Com,E,nr,王,ruì
医,I-Com,B,n,匚,yī
疗,I-Com,E,n,疒,liáo
科,I-Com,B,n,禾,kē
技,I-Com,M,n,扌,jì
股,I-Com,M,n,月,gǔ
份,I-Com,E,n,亻,fèn
有,I-Com,B,n,月,yǒu
限,I-Com,M,n,阝,xiàn
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
董,B-Zhi,B,n,艹,dǒng
事,E-Zhi,E,n,亅,shì
。,O,S,x,UNK,UNK
LB,O,S,x,UNK,UNK
