word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
丹,B-Per,B,nr,丿,dān
尼,I-Per,M,nr,尸,ní
尔,I-Per,E,nr,小,ěr
·,I-Per,S,x,UNK,UNK
保,I-Per,B,nr,亻,bǎo
泽,I-Per,M,nr,氵,zé
方,E-Per,E,nr,方,fāng
",",O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,E-Bir,S,m,干,nián
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
大,B-Edu,B,n,大,dà
学,E-Edu,E,n,子,xué
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
-,I-Time,S,x,UNK,UNK
num,I-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,E-Time,S,m,干,nián
在,O,S,p,土,zài
欧,B-Com,B,ns,欠,ōu
洲,I-Com,E,ns,氵,zhōu
航,I-Com,B,n,舟,háng
空,I-Com,E,n,穴,kōng
防,I-Com,B,vn,阝,fáng
务,I-Com,E,vn,力,wù
和,I-Com,S,c,口,hé
航,I-Com,B,n,舟,háng
天,I-Com,E,n,大,tiān
公,I-Com,B,n,八,gōng
司,E-Com,E,n,口,sī
工,O,B,vn,工,gōng
作,O,E,vn,亻,zuò
;,O,S,x,UNK,UNK
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
