word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
杨,B-Per,B,nr,木,yáng
春,I-Per,M,nr,日,chūn
龙,E-Per,E,nr,龙,lóng
",",O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
汉,B-Nat,B,nz,氵,hàn
族,E-Nat,E,nz,方,zú
",",O,S,x,UNK,UNK
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,I-Bir,S,m,干,nián
num,I-Bir,S,m,UNK,UNK
月,I-Bir,S,m,月,yuè
num,I-Bir,B,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
日,E-Bir,S,m,日,rì
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
大,B-Edu,B,n,大,dà
学,I-Edu,E,n,子,xué
学,I-Edu,B,n,子,xué
历,E-Edu,E,n,厂,lì
",",O,S,x,UNK,UNK
旅,B-Maj,B,vn,方,lǚ
游,I-Maj,E,vn,氵,yóu
管,I-Maj,B,vn,竹,guǎn
理,I-Maj,E,vn,王,lǐ
专,I-Maj,B,n,一,zhuān
业,E-Maj,E,n,一,yè
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,S,m,UNK,UNK
月,E-Time,S,m,月,yuè
任,O,S,v,亻,rèn
广,B-Com,B,ns,广,guǎng
州,I-Com,M,ns,川,zhōu
市,I-Com,E,ns,巾,shì
潮,I-Com,B,n,氵,cháo
韵,I-Com,E,n,音,yùn
酒,I-Com,B,n,酉,jiǔ
家,E-Com,E,n,宀,jiā
采,B-Job,B,n,采,cǎi
购,I-Job,M,n,贝,gòu
部,I-Job,E,n,阝,bù
经,I-Job,B,n,纟,jīng
理,E-Job,E,n,王,lǐ
",",O,S,x,UNK,UNK
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,B,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
月,E-Time,S,m,月,yuè
创,O,B,v,刂,chuàng
办,O,E,v,力,bàn
武,B-Com,B,ns,止,wǔ
汉,I-Com,E,ns,氵,hàn
书,I-Com,B,n,乙,shū
香,I-Com,E,n,香,xiāng
太,I-Com,B,n,大,tài
空,I-Com,M,n,穴,kōng
舱,I-Com,E,n,舟,cāng
旅,I-Com,B,n,方,lǚ
行,I-Com,M,n,行,háng
社,I-Com,E,n,礻,shè
有,I-Com,B,n,月,yǒu
限,I-Com,M,n,阝,xiàn
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
并,O,B,v,干,bìng
任,O,E,v,亻,rèn
总,B-Job,B,n,心,zǒng
经,I-Job,M,n,纟,jīng
理,E-Job,E,n,王,lǐ
",",O,S,x,UNK,UNK
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,S,m,UNK,UNK
月,E-Time,S,m,月,yuè
任,O,S,v,亻,rèn
深,B-Com,B,ns,氵,shēn
圳,I-Com,M,ns,土,zhèn
市,I-Com,E,ns,巾,shì
博,I-Com,B,nr,十,bó
恒,I-Com,E,nr,忄,héng
投,I-Com,B,vn,扌,tóu
资,I-Com,E,vn,贝,zī
有,I-Com,B,n,月,yǒu
限,I-Com,M,n,阝,xiàn
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
办,B-Job,B,n,力,bàn
公,I-Job,M,n,八,gōng
室,I-Job,E,n,宀,shì
主,I-Job,B,b,丶,zhǔ
任,E-Job,E,b,亻,rèn
。,O,S,x,UNK,UNK
LB,O,S,x,UNK,UNK
