word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
车,B-Per,S,zg,车,chē
国,I-Per,B,nz,囗,guó
宝,E-Per,E,nz,宀,bǎo
先,B-Gdr,B,n,儿,xiān
生,E-Gdr,E,n,生,shēng
",",O,S,x,UNK,UNK
股,B-Zhi,B,n,月,gǔ
东,I-Zhi,E,n,一,dōng
监,I-Zhi,B,n,皿,jiān
事,I-Zhi,E,n,亅,shì
候,I-Zhi,B,n,亻,hòu
选,I-Zhi,M,n,辶,xuǎn
人,E-Zhi,E,n,人,rén
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,E-Bir,S,m,干,nián
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
建,B-Maj,B,n,廴,jiàn
筑,I-Maj,M,n,竹,zhù
机,I-Maj,M,n,木,jī
械,I-Maj,E,n,木,xiè
专,I-Maj,B,n,一,zhuān
业,E-Maj,E,n,一,yè
学,B-Edu,B,n,子,xué
士,E-Edu,E,n,士,shì
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
现,O,B,n,见,xiàn
任,O,E,n,亻,rèn
深,B-Com,B,ns,氵,shēn
圳,I-Com,M,ns,土,zhèn
市,I-Com,E,ns,巾,shì
盈,I-Com,B,nz,皿,yíng
中,I-Com,M,nz,丨,zhōng
泰,I-Com,E,nz,水,tài
投,I-Com,B,vn,扌,tóu
资,I-Com,E,vn,贝,zī
有,I-Com,B,n,月,yǒu
限,I-Com,M,n,阝,xiàn
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
股,B-Zhi,B,n,月,gǔ
东,E-Zhi,E,n,一,dōng
、,O,S,x,UNK,UNK
