word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
陈,B-Per,B,nr,阝,chén
强,E-Per,E,nr,弓,qiáng
:,O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,I-Bir,S,m,干,nián
num,I-Bir,B,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
月,E-Bir,S,m,月,yuè
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
长,B-Sch,B,ns,长,cháng
沙,I-Sch,E,ns,氵,shā
铁,I-Sch,B,n,钅,tiě
道,I-Sch,E,n,辶,dào
学,I-Sch,B,n,子,xué
院,E-Sch,E,n,阝,yuàn
铁,B-Maj,B,n,钅,tiě
道,I-Maj,E,n,辶,dào
运,I-Maj,B,vn,辶,yùn
输,I-Maj,E,vn,车,shū
专,I-Maj,B,n,一,zhuān
业,E-Maj,E,n,一,yè
本,B-Edu,B,n,木,běn
科,E-Edu,M,n,禾,kē
毕,O,M,n,比,bì
业,O,E,n,一,yè
",",O,S,x,UNK,UNK
高,B-Hon,B,b,高,gāo
级,I-Hon,E,b,纟,jí
工,I-Hon,B,n,工,gōng
程,I-Hon,M,n,禾,chéng
师,E-Hon,E,n,巾,shī
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,S,m,UNK,UNK
月,I-Time,S,m,月,yuè
至,I-Time,S,p,至,zhì
num,I-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
