word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
萨,B-Per,B,nr,艹,sà
殊,I-Per,M,nr,歹,shū
利,E-Per,E,nr,刂,lì
:,O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,E-Bir,S,m,干,nián
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
中,O,B,ns,丨,zhōng
国,O,E,ns,囗,guó
国,O,B,n,囗,guó
籍,O,E,n,竹,jí
",",O,S,x,UNK,UNK
工,B-Maj,B,n,工,gōng
学,E-Maj,E,n,子,xué
硕,B-Edu,B,n,石,shuò
士,E-Edu,E,n,士,shì
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
曾,O,S,d,曰,zēng
任,O,S,v,亻,rèn
团,B-Com,B,nt,囗,tuán
中,I-Com,M,nt,丨,zhōng
央,I-Com,E,nt,大,yāng
中,I-Com,B,ns,丨,zhōng
国,I-Com,E,ns,囗,guó
青,I-Com,B,t,青,qīng
年,I-Com,E,t,干,nián
高,I-Com,B,l,高,gāo
级,I-Com,M,l,纟,jí
人,I-Com,M,l,人,rén
才,I-Com,E,l,扌,cái
培,I-Com,B,n,土,péi
训,I-Com,M,n,讠,xùn
中,I-Com,M,n,丨,zhōng
心,E-Com,E,n,心,xīn
教,B-Job,B,n,攵,jiào
授,E-Job,E,n,扌,shòu
、,O,S,x,UNK,UNK
中,B-Job,B,n,丨,zhōng
心,I-Job,E,n,心,xīn
主,I-Job,B,b,丶,zhǔ
任,I-Job,E,b,亻,rèn
助,I-Job,B,vn,力,zhù
理,E-Job,E,vn,王,lǐ
、,O,S,x,UNK,UNK
专,B-Job,B,n,一,zhuān
项,I-Job,E,n,页,xiàng
培,I-Job,B,n,土,péi
训,I-Job,M,n,讠,xùn
部,I-Job,E,n,阝,bù
部,I-Job,B,n,阝,bù
长,E-Job,E,n,长,cháng
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
现,O,B,n,见,xiàn
任,O,E,n,亻,rèn
中,B-Com,B,ns,丨,zhōng
国,I-Com,E,ns,囗,guó
西,I-Com,B,f,覀,xī
部,I-Com,E,f,阝,bù
开,I-Com,B,v,廾,kāi
发,I-Com,E,v,又,fā
促,I-Com,B,v,亻,cù
进,I-Com,M,v,辶,jìn
会,E-Com,E,v,人,huì
副,B-Zhi,S,b,刂,fù
秘,I-Zhi,B,n,禾,mì
书,I-Zhi,M,n,乙,shū
长,E-Zhi,E,n,长,cháng
。,O,S,x,UNK,UNK
LB,O,S,x,UNK,UNK
