word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
杨,B-Per,B,nr,木,yáng
如,I-Per,M,nr,女,rú
生,E-Per,E,nr,生,shēng
先,B-Gdr,B,n,儿,xiān
生,E-Gdr,E,n,生,shēng
",",O,S,x,UNK,UNK
独,B-Zhi,B,v,犭,dú
立,I-Zhi,E,v,立,lì
董,I-Zhi,B,n,艹,dǒng
事,I-Zhi,E,n,亅,shì
候,I-Zhi,B,n,亻,hòu
选,I-Zhi,M,n,辶,xuǎn
人,E-Zhi,E,n,人,rén
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,I-Bir,S,m,干,nián
num,I-Bir,S,m,UNK,UNK
月,E-Bir,S,m,月,yuè
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
暨,B-Sch,B,nt,日,jì
南,I-Sch,M,nt,十,nán
大,I-Sch,M,nt,大,dà
学,E-Sch,E,nt,子,xué
经,B-Maj,B,n,纟,jīng
济,I-Maj,M,n,氵,jì
学,E-Maj,E,n,子,xué
硕,B-Edu,B,n,石,shuò
士,E-Edu,E,n,士,shì
、,O,S,x,UNK,UNK
中,B-Hon,B,ns,丨,zhōng
国,I-Hon,E,ns,囗,guó
注,I-Hon,B,v,氵,zhù
册,I-Hon,E,v,丿,cè
会,I-Hon,B,n,人,huì
计,I-Hon,M,n,讠,jì
师,E-Hon,E,n,巾,shī
、,O,S,x,UNK,UNK
中,B-Hon,B,ns,丨,zhōng
国,I-Hon,E,ns,囗,guó
注,I-Hon,B,v,氵,zhù
册,I-Hon,E,v,丿,cè
税,I-Hon,B,n,禾,shuì
务,I-Hon,M,n,力,wù
师,E-Hon,E,n,巾,shī
