word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
谢,B-Per,B,nr,讠,xiè
永,I-Per,E,nr,水,yǒng
林,E-Per,B,nr,木,lín
先,B-Gdr,M,nr,儿,xiān
生,E-Gdr,E,nr,生,shēng
",",O,S,x,UNK,UNK
非,O,S,h,非,fēi
执,O,B,v,扌,zhí
行,O,E,v,行,háng
董,O,B,n,艹,dǒng
事,O,E,n,亅,shì
候,O,B,n,亻,hòu
选,O,M,n,辶,xuǎn
人,O,E,n,人,rén
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
num,O,B,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,E,m,UNK,UNK
年,O,S,m,干,nián
num,O,S,m,UNK,UNK
月,O,S,m,月,yuè
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
南,B-Sch,B,nt,十,nán
京,I-Sch,M,nt,亠,jīng
大,I-Sch,M,nt,大,dà
学,E-Sch,E,nt,子,xué
管,B-Maj,B,n,竹,guǎn
理,I-Maj,M,n,王,lǐ
学,E-Maj,E,n,子,xué
博,O,B,n,十,bó
士,O,E,n,士,shì
、,O,S,x,UNK,UNK
理,B-Maj,B,n,王,lǐ
学,E-Maj,E,n,子,xué
硕,O,B,n,石,shuò
士,O,E,n,士,shì
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
自,O,S,r,自,zì
num,O,B,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,E,m,UNK,UNK
年,O,S,m,干,nián
num,O,B,m,UNK,UNK
num,O,E,m,UNK,UNK
月,O,S,m,月,yuè
起,O,S,v,走,qǐ
出,O,B,v,凵,chū
任,O,E,v,亻,rèn
中,B-Com,B,ns,丨,zhōng
国,I-Com,E,ns,囗,guó
平,I-Com,B,a,干,píng
