word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
王,B-Per,B,nr,王,wáng
守,I-Per,M,nr,宀,shǒu
俊,E-Per,E,nr,亻,jùn
:,O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,E-Bir,S,m,干,nián
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
中,O,B,ns,丨,zhōng
国,O,E,ns,囗,guó
国,O,B,n,囗,guó
籍,O,E,n,竹,jí
",",O,S,x,UNK,UNK
本,B-Edu,B,nz,木,běn
科,E-Edu,M,nz,禾,kē
学,O,M,nz,子,xué
历,O,E,nz,厂,lì
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
曾,O,S,d,曰,zēng
任,O,S,v,亻,rèn
石,B-Com,B,nt,石,shí
药,I-Com,M,nt,艹,yào
集,I-Com,M,nt,隹,jí
团,I-Com,E,nt,囗,tuán
及,I-Com,B,c,又,jí
其,I-Com,E,c,八,qí
下,I-Com,B,v,一,xià
属,I-Com,E,v,尸,shǔ
子,I-Com,B,n,子,zǐ
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
财,B-Job,B,nt,贝,cái
务,I-Job,M,nt,力,wù
部,I-Job,E,nt,阝,bù
主,I-Job,B,n,丶,zhǔ
管,E-Job,E,n,竹,guǎn
、,O,S,x,UNK,UNK
副,B-Job,B,n,刂,fù
经,I-Job,M,n,纟,jīng
理,E-Job,E,n,王,lǐ
、,O,S,x,UNK,UNK
经,B-Job,B,n,纟,jīng
理,E-Job,E,n,王,lǐ
",",O,S,x,UNK,UNK
石,B-Com,B,nt,石,shí
药,I-Com,M,nt,艹,yào
集,I-Com,M,nt,隹,jí
团,I-Com,E,nt,囗,tuán
恩,I-Com,B,nr,心,ēn
必,I-Com,M,nr,心,bì
普,I-Com,E,nr,日,pǔ
公,I-Com,B,n,八,gōng
司,E-Com,E,n,口,sī
销,B-Job,B,n,钅,xiāo
售,I-Job,M,n,口,shòu
部,I-Job,E,n,阝,bù
经,I-Job,B,n,纟,jīng
理,E-Job,E,n,王,lǐ
;,O,S,x,UNK,UNK
新,B-Com,B,n,斤,xīn
源,I-Com,E,n,氵,yuán
国,I-Com,B,n,囗,guó
际,I-Com,E,n,阝,jì
控,I-Com,B,nz,扌,kòng
股,I-Com,M,nz,月,gǔ
集,I-Com,M,nz,隹,jí
团,I-Com,E,nz,囗,tuán
有,I-Com,B,n,月,yǒu
限,I-Com,M,n,阝,xiàn
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
财,B-Job,B,n,贝,cái
务,I-Job,M,n,力,wù
总,I-Job,M,n,心,zǒng
监,E-Job,E,n,皿,jiān
;,O,S,x,UNK,UNK
中,B-Com,B,ns,丨,zhōng
国,I-Com,E,ns,囗,guó
远,I-Com,B,b,辶,yuǎn
大,I-Com,E,b,大,dà
集,I-Com,B,n,隹,jí
团,E-Com,E,n,囗,tuán
医,B-Job,B,n,匚,yī
药,I-Job,E,n,艹,yào
事,I-Job,B,n,亅,shì
业,I-Job,M,n,一,yè
部,I-Job,E,n,阝,bù
财,I-Job,B,n,贝,cái
务,I-Job,M,n,力,wù
总,I-Job,M,n,心,zǒng
监,E-Job,E,n,皿,jiān
;,O,S,x,UNK,UNK
北,B-Com,B,ns,匕,běi
京,I-Com,M,ns,亠,jīng
市,I-Com,E,ns,巾,shì
金,I-Com,S,nr,金,jīn
数,I-Com,B,n,攵,shù
码,I-Com,E,n,石,mǎ
投,I-Com,B,vn,扌,tóu
资,I-Com,E,vn,贝,zī
有,I-Com,B,n,月,yǒu
限,I-Com,M,n,阝,xiàn
公,I-Com,M,n,八,gōng
司,E-Com,E,n,口,sī
副,B-Job,B,n,刂,fù
总,I-Job,M,n,心,zǒng
经,I-Job,M,n,纟,jīng
理,E-Job,E,n,王,lǐ
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
现,O,B,n,见,xiàn
任,O,E,n,亻,rèn
公,O,B,n,八,gōng
司,O,E,n,口,sī
副,B-Zhi,B,n,刂,fù
总,I-Zhi,M,n,心,zǒng
经,I-Zhi,M,n,纟,jīng
理,I-Zhi,E,n,王,lǐ
兼,I-Zhi,S,v,丷,jiān
财,I-Zhi,B,n,贝,cái
务,I-Zhi,M,n,力,wù
总,I-Zhi,M,n,心,zǒng
监,E-Zhi,E,n,皿,jiān
",",O,S,x,UNK,UNK
并,O,S,c,干,bìng
在,B-Zhi,S,p,土,zài
子,I-Zhi,B,n,子,zǐ
公,I-Zhi,M,n,八,gōng
司,I-Zhi,E,n,口,sī
任,I-Zhi,S,r,亻,rèn
董,I-Zhi,B,n,艹,dǒng
事,E-Zhi,E,n,亅,shì
等,O,S,u,竹,děng
职,O,B,n,耳,zhí
务,O,E,n,力,wù
。,O,S,x,UNK,UNK
LB,O,S,x,UNK,UNK
