word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
曲,B-Per,B,n,曰,qū
咏,I-Per,E,n,口,yǒng
海,E-Per,S,n,氵,hǎi
:,O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,I-Bir,S,m,干,nián
num,I-Bir,S,m,UNK,UNK
月,E-Bir,S,m,月,yuè
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
清,B-Sch,B,nt,氵,qīng
华,I-Sch,M,nt,十,huá
大,I-Sch,M,nt,大,dà
学,E-Sch,E,nt,子,xué
工,B-Col,B,j,工,gōng
商,I-Col,M,j,口,shāng
管,I-Col,M,j,竹,guǎn
理,E-Col,E,j,王,lǐ
M,B-Maj,B,eng,UNK,UNK
B,I-Maj,M,eng,UNK,UNK
A,E-Maj,E,eng,UNK,UNK
",",O,S,x,UNK,UNK
上,B-Sch,B,ns,一,shàng
海,I-Sch,E,ns,氵,hǎi
高,I-Sch,B,b,高,gāo
级,I-Sch,E,b,纟,jí
金,I-Sch,B,n,金,jīn
融,I-Sch,E,n,虫,róng
学,I-Sch,B,n,子,xué
院,E-Sch,E,n,阝,yuàn
E,B-Maj,B,eng,UNK,UNK
M,I-Maj,M,eng,UNK,UNK
B,I-Maj,M,eng,UNK,UNK
A,E-Maj,E,eng,UNK,UNK
",",O,S,x,UNK,UNK
高,B-Hon,B,b,高,gāo
级,I-Hon,E,b,纟,jí
工,I-Hon,B,n,工,gōng
程,I-Hon,M,n,禾,chéng
师,E-Hon,E,n,巾,shī
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
历,O,B,n,厂,lì
任,O,E,n,亻,rèn
