word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
李,B-Per,S,nr,木,lǐ
建,I-Per,B,vn,廴,jiàn
春,E-Per,E,vn,日,chūn
:,O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,I-Bir,S,m,干,nián
num,I-Bir,S,m,UNK,UNK
月,E-Bir,S,m,月,yuè
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
吉,B-Sch,B,nt,口,jí
林,I-Sch,M,nt,木,lín
大,I-Sch,M,nt,大,dà
学,E-Sch,E,nt,子,xué
世,B-Maj,B,n,一,shì
界,I-Maj,E,n,田,jiè
经,I-Maj,B,n,纟,jīng
济,I-Maj,E,n,氵,jì
专,I-Maj,B,n,一,zhuān
业,E-Maj,E,n,一,yè
研,B-Edu,B,n,石,yán
究,I-Edu,M,n,穴,jiū
生,E-Edu,E,n,生,shēng
毕,O,B,n,比,bì
业,O,E,n,一,yè
",",O,S,x,UNK,UNK
博,B-Edu,B,n,十,bó
士,E-Edu,E,n,士,shì
",",O,S,x,UNK,UNK
高,B-Hon,B,b,高,gāo
级,I-Hon,E,b,纟,jí
经,I-Hon,B,n,纟,jīng
济,I-Hon,M,n,氵,jì
师,E-Hon,E,n,巾,shī
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
历,O,B,n,厂,lì
任,O,E,n,亻,rèn
国,B-Com,B,nt,囗,guó
务,I-Com,M,nt,力,wù
院,I-Com,E,nt,阝,yuàn
法,I-Com,B,nt,氵,fǎ
制,I-Com,M,nt,刂,zhì
局,E-Com,E,nt,尸,jú
科,B-Job,B,n,禾,kē
员,E-Job,E,n,口,yuán
