word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
王,B-Per,B,nr,王,wáng
海,I-Per,M,nr,氵,hǎi
武,E-Per,E,nr,止,wǔ
先,B-Gdr,B,n,儿,xiān
生,E-Gdr,E,n,生,shēng
",",O,S,x,UNK,UNK
num,O,B,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,E,m,UNK,UNK
年,O,S,m,干,nián
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
现,O,B,n,见,xiàn
任,O,E,n,亻,rèn
公,O,B,n,八,gōng
司,O,E,n,口,sī
执,O,B,v,扌,zhí
行,O,E,v,行,háng
副,O,B,n,刂,fù
总,O,M,n,心,zǒng
裁,O,E,n,衣,cái
、,O,S,x,UNK,UNK
首,O,B,n,首,shǒu
席,O,E,n,巾,xí
运,O,B,n,辶,yùn
营,O,M,n,艹,yíng
官,O,E,n,宀,guān
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
其,O,B,c,八,qí
于,O,E,c,二,yú
num,O,B,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,M,m,UNK,UNK
num,O,E,m,UNK,UNK
年,O,S,m,干,nián
毕,O,B,n,比,bì
业,O,E,n,一,yè
于,O,S,p,二,yú
吉,B-Sch,B,nt,口,jí
林,I-Sch,M,nt,木,lín
大,I-Sch,M,nt,大,dà
学,E-Sch,E,nt,子,xué
企,B-Maj,B,n,人,qǐ
业,I-Maj,E,n,一,yè
管,I-Maj,B,vn,竹,guǎn
理,I-Maj,E,vn,王,lǐ
专,I-Maj,B,n,一,zhuān
业,E-Maj,E,n,一,yè
",",O,S,x,UNK,UNK
获,O,S,v,艹,huò
管,B-Maj,B,n,竹,guǎn
理,I-Maj,M,n,王,lǐ
学,E-Maj,E,n,子,xué
硕,O,B,n,石,shuò
